omega_norm,S_num_re,S_num_im,S_cf_re,S_cf_im,abs_err,rel_err 
0.7,0.42543016857924754,-0.030663418660659678,0.48031750815974583,0.021795109435829386,0.07592441778686924,0.15790882473498363
0.735,0.46027445309680465,-0.11064123917066919,0.514422252391847,0.028110772559222133,0.14894329433575748,0.2891037659840499
0.7699999999999999,0.5465902882307442,-0.18359262432891116,0.5589219980901438,0.037468261497962674,0.2214045760832837,0.3952407685799455
0.8049999999999999,0.8595585901474364,-0.2907683563256987,0.6191022661965141,0.0521881332341611,0.41885367070041674,0.6741590411404191
0.84,1.0847306756292936,-0.022893795714224882,0.7044627998990288,0.0772850177573963,0.3932422306683121,0.5548864904777369
0.875,1.2155705347449959,0.13042757032851438,0.8336746045172383,0.1252426889855212,0.3819311253604048,0.45304587103868277
0.9099999999999999,1.4921324935208453,0.31573946239307055,1.0474150774000226,0.2341657763606017,0.45213697753457943,0.42126985571534153
0.945,2.0449298233759547,0.8218104431828032,1.4356143860526869,0.5622221110260338,0.6623076357346172,0.42957366267930763
0.98,2.5365437639516917,3.016966927197938,1.7862923966468098,2.008951456390105,1.25657164679567,0.46742985465092796
1.015,-2.1196788208188746,3.540049908467454,-1.2469571023405515,2.3669711515333303,1.4621070302388488,0.5465122096535999
1.0499999999999998,-1.9516919454482171,0.867829978622799,-1.0949491903195943,0.644177980017133,0.8854537621726457,0.6969961871901962
1.085,-1.3476065481877053,0.0996745377439119,-0.6768209923438192,0.2569938194007351,0.6889866604730531,0.9516785424491835
1.1199999999999999,-0.7540676569659573,-0.10775672471623508,-0.4473738393880828,0.13429994560944047,0.3907077288583416,0.8364590903814354
1.1549999999999998,-0.6151766233332618,-0.16605352433930767,-0.3103124076909365,0.08178517491243621,0.39289465614335684,1.2243178597337752
1.19,-0.21373541815689293,-0.37630802970110183,-0.22051965862433084,0.05480281553181563,0.43116422253726083,1.897501437203904
1.2249999999999999,-0.030201306327669673,-0.09253009779207234,-0.15753135266576704,0.03918323606309103,0.18319755188239759,1.128541104382633
1.2599999999999998,-0.044458639678263155,-0.013877390729537887,-0.11106389625738207,0.02935520424810703,0.07940602919471136,0.6912214955288573
1.295,-0.04199359115092097,0.0038877858625540776,-0.07545254902957982,0.022779698608328812,0.03842403192690524,0.48751406208685827
1.3299999999999998,-0.031014740472835756,0.008461078684677131,-0.04733915784749785,0.018168431845705595,0.018992611932409375,0.37456417948466125
1.3649999999999998,-0.01784143619296058,0.009332680146307575,-0.024613147437407678,0.014812222665670486,0.008710996464221375,0.30323956724378304
1.4,-0.004763613566490127,0.009015911530531728,-0.005883982225153274,0.012294888231663503,0.0034650994412685587,0.25422003096030515
