kba |t0| |t1| |t2| |t3| |t4|
5.173820e-01 8.978175e-01 6.590509e-01 9.924963e-02 3.345122e-03 3.791298e-05
5.244635e-01 8.946476e-01 6.639571e-01 1.018396e-01 3.526842e-03 4.109550e-05
5.315451e-01 8.914305e-01 6.688342e-01 1.044577e-01 3.715635e-03 4.449583e-05
5.386266e-01 8.881662e-01 6.736820e-01 1.071036e-01 3.911664e-03 4.812555e-05
5.457082e-01 8.848551e-01 6.785005e-01 1.097772e-01 4.115091e-03 5.199666e-05
5.527897e-01 8.814973e-01 6.832897e-01 1.124780e-01 4.326080e-03 5.612162e-05
5.598712e-01 8.780930e-01 6.880492e-01 1.152060e-01 4.544795e-03 6.051332e-05
5.669528e-01 8.746423e-01 6.927792e-01 1.179609e-01 4.771399e-03 6.518515e-05
5.740343e-01 8.711455e-01 6.974795e-01 1.207424e-01 5.006057e-03 7.015094e-05
5.811159e-01 8.676027e-01 7.021499e-01 1.235502e-01 5.248934e-03 7.542503e-05
5.881974e-01 8.640141e-01 7.067903e-01 1.263842e-01 5.500196e-03 8.102222e-05
5.952790e-01 8.603800e-01 7.114006e-01 1.292442e-01 5.760007e-03 8.695785e-05
6.023605e-01 8.567005e-01 7.159807e-01 1.321297e-01 6.028532e-03 9.324774e-05
6.094421e-01 8.529758e-01 7.205305e-01 1.350407e-01 6.305938e-03 9.990824e-05
6.165236e-01 8.492062e-01 7.250497e-01 1.379768e-01 6.592390e-03 1.069562e-04
6.236052e-01 8.453918e-01 7.295383e-01 1.409379e-01 6.888053e-03 1.144091e-04
6.306867e-01 8.415329e-01 7.339961e-01 1.439236e-01 7.193092e-03 1.222849e-04
6.377682e-01 8.376297e-01 7.384230e-01 1.469337e-01 7.507673e-03 1.306020e-04
6.448498e-01 8.336823e-01 7.428187e-01 1.499680e-01 7.831960e-03 1.393796e-04
6.519313e-01 8.296911e-01 7.471833e-01 1.530262e-01 8.166119e-03 1.486373e-04
6.590129e-01 8.256562e-01 7.515164e-01 1.561081e-01 8.510313e-03 1.583954e-04
6.660944e-01 8.215779e-01 7.558180e-01 1.592133e-01 8.864706e-03 1.686746e-04
6.731760e-01 8.174563e-01 7.600878e-01 1.623418e-01 9.229463e-03 1.794964e-04
6.802575e-01 8.132918e-01 7.643258e-01 1.654931e-01 9.604745e-03 1.908829e-04
6.873391e-01 8.090845e-01 7.685317e-01 1.686671e-01 9.990716e-03 2.028566e-04
6.944206e-01 8.048347e-01 7.727054e-01 1.718635e-01 1.038754e-02 2.154409e-04
7.015021e-01 8.005426e-01 7.768468e-01 1.750821e-01 1.079537e-02 2.286596e-04
7.085837e-01 7.962084e-01 7.809555e-01 1.783225e-01 1.121437e-02 2.425374e-04
7.156652e-01 7.918325e-01 7.850316e-01 1.815846e-01 1.164471e-02 2.570993e-04
7.227468e-01 7.874149e-01 7.890748e-01 1.848681e-01 1.208654e-02 2.723712e-04
7.298283e-01 7.829561e-01 7.930849e-01 1.881727e-01 1.254001e-02 2.883797e-04
7.369099e-01 7.784562e-01 7.970618e-01 1.914981e-01 1.300529e-02 3.051518e-04
7.439914e-01 7.739155e-01 8.010054e-01 1.948442e-01 1.348253e-02 3.227156e-04
7.510730e-01 7.693342e-01 8.049153e-01 1.982106e-01 1.397189e-02 3.410994e-04
7.581545e-01 7.647126e-01 8.087915e-01 2.015972e-01 1.447352e-02 3.603326e-04
7.652361e-01 7.600510e-01 8.126337e-01 2.050036e-01 1.498758e-02 3.804451e-04
7.723176e-01 7.553495e-01 8.164419e-01 2.084295e-01 1.551421e-02 4.014675e-04
7.793991e-01 7.506085e-01 8.202158e-01 2.118748e-01 1.605357e-02 4.234312e-04
7.864807e-01 7.458282e-01 8.239552e-01 2.153391e-01 1.660580e-02 4.463682e-04
7.935622e-01 7.410089e-01 8.276600e-01 2.188223e-01 1.717106e-02 4.703114e-04
8.006438e-01 7.361509e-01 8.313301e-01 2.223240e-01 1.774949e-02 4.952942e-04
8.077253e-01 7.312544e-01 8.349651e-01 2.258440e-01 1.834123e-02 5.213509e-04
8.148069e-01 7.263197e-01 8.385650e-01 2.293820e-01 1.894644e-02 5.485166e-04
8.218884e-01 7.213470e-01 8.421296e-01 2.329378e-01 1.956524e-02 5.768269e-04
8.289700e-01 7.163367e-01 8.456587e-01 2.365110e-01 2.019779e-02 6.063185e-04
8.360515e-01 7.112889e-01 8.491521e-01 2.401016e-01 2.084423e-02 6.370285e-04
8.431330e-01 7.062041e-01 8.526097e-01 2.437091e-01 2.150468e-02 6.689950e-04
8.502146e-01 7.010824e-01 8.560313e-01 2.473333e-01 2.217930e-02 7.022567e-04
8.572961e-01 6.959242e-01 8.594167e-01 2.509740e-01 2.286820e-02 7.368533e-04
8.643777e-01 6.907297e-01 8.627657e-01 2.546308e-01 2.357153e-02 7.728251e-04
8.714592e-01 6.854992e-01 8.660783e-01 2.583036e-01 2.428942e-02 8.102132e-04
8.785408e-01 6.802330e-01 8.693541e-01 2.619921e-01 2.502199e-02 8.490595e-04
8.856223e-01 6.749314e-01 8.725930e-01 2.656960e-01 2.576937e-02 8.894068e-04
8.927039e-01 6.695946e-01 8.757949e-01 2.694150e-01 2.653170e-02 9.312984e-04
8.997854e-01 6.642231e-01 8.789597e-01 2.731489e-01 2.730909e-02 9.747786e-04
9.068670e-01 6.588169e-01 8.820870e-01 2.768974e-01 2.810166e-02 1.019893e-03
9.139485e-01 6.533766e-01 8.851768e-01 2.806603e-01 2.890954e-02 1.066686e-03
9.210300e-01 6.479023e-01 8.882289e-01 2.844372e-01 2.973284e-02 1.115206e-03
9.281116e-01 6.423943e-01 8.912432e-01 2.882280e-01 3.057169e-02 1.165500e-03
9.351931e-01 6.368530e-01 8.942194e-01 2.920323e-01 3.142619e-02 1.217615e-03
9.422747e-01 6.312786e-01 8.971575e-01 2.958499e-01 3.229645e-02 1.271602e-03
9.493562e-01 6.256714e-01 9.000572e-01 2.996805e-01 3.318260e-02 1.327510e-03
9.564378e-01 6.200318e-01 9.029184e-01 3.035239e-01 3.408472e-02 1.385389e-03
9.635193e-01 6.143601e-01 9.057409e-01 3.073798e-01 3.500295e-02 1.445292e-03
9.706009e-01 6.086565e-01 9.085246e-01 3.112479e-01 3.593736e-02 1.507270e-03
9.776824e-01 6.029214e-01 9.112693e-01 3.151279e-01 3.688808e-02 1.571376e-03
9.847639e-01 5.971550e-01 9.139750e-01 3.190197e-01 3.785519e-02 1.637665e-03
