kb_a,N,rel_err,theory_rate,ratio
0.25,1,0.658761500268805,0.6795704571147613,0.9693792503365958
0.25,2,0.1433826104500686,0.1154540015457914,1.2419024765737559
0.25,3,0.01367034620263214,0.011623574608326194,1.1760879646128657
0.25,5,3.2671437175341114e-05,4.637911221955516e-05,0.7044429186284773
0.25,8,5.606480577885874e-10,2.711165495422144e-09,0.206792266549295
0.25,10,1.6482594778631105e-13,2.1006074709707916e-12,0.07846584860051796
0.25,12,3.0143630981195506e-17,1.0880251500441578e-15,0.027704902758885784
0.5,1,0.7661195443195397,1.3591409142295225,0.5636792596695847
0.5,2,0.3144739312034689,0.4618160061831656,0.6809506967992404
0.5,3,0.059906316737041096,0.09298859686660955,0.6442329356036591
0.5,5,0.0005731432629032494,0.001484131591025765,0.3861808928325005
0.5,8,7.881173814792858e-08,6.940583668280688e-07,0.11355203238613462
0.5,10,9.274969850214942e-11,2.1510220502740905e-09,0.043118897126289774
0.5,12,6.788654881651433e-14,4.45655101458087e-12,0.015232979179281072
1.0,1,0.8345686678973675,2.718281828459045,0.3070206551652786
1.0,2,0.5539359437331167,1.8472640247326624,0.29986831136024683
1.0,3,0.21113027121191918,0.7439087749328764,0.28381204567854396
1.0,5,0.008144669188906427,0.04749221091282448,0.1714948416247999
1.0,8,9.02238524252392e-06,0.00017767894190798562,0.05077914774614276
1.0,10,4.260148807820566e-08,2.2026465794806687e-06,0.019341045665278753
1.0,12,1.2500493256762585e-10,1.8254032955723245e-08,0.006848072032675533
1.5,1,0.8585602610141377,4.077422742688568,0.21056444602259244
1.5,2,0.6592897515543349,4.156344055648491,0.15862251602062563
1.5,3,0.3660174121541459,2.510692115398458,0.1457834713819768
1.5,5,0.03253487746515115,0.3606439766192612,0.09021328394318048
1.5,8,0.0001232332224567906,0.004553716944758961,0.02706211737614131
1.5,10,1.3160579275349696e-06,0.00012701570104663493,0.010361379866350282
1.5,12,8.721685707011475e-09,2.3683939277398724e-06,0.00368253169578697
2.0,1,0.8846713758139806,5.43656365691809,0.1627262056774091
2.0,2,0.7029563080599276,7.3890560989306495,0.09513479105425388
2.0,3,0.47436722553211746,5.9512701994630115,0.07970856802551496
2.0,5,0.07743198733944442,1.5197507492103834,0.050950451828811895
2.0,8,0.0007102110935092119,0.04548580912844432,0.015613904800587244
2.0,10,1.3586274920914759e-05,0.0022555100973882048,0.006023593038509183
2.0,12,1.6093337305861868e-07,7.476851898664241e-05,0.0021524215704656373
