N rel_err theory
1 8.345687e-01 2.718282e+00
2 5.539359e-01 1.847264e+00
3 2.111303e-01 7.439088e-01
5 8.144669e-03 4.749221e-02
8 9.022385e-06 1.776789e-04
10 4.260149e-08 2.202647e-06
12 1.250049e-10 1.825403e-08
