t,D_FD,G_ana,abs_err 
0.02,-2.2148156595176713,-2.19643922710995,0.018376432407721133
0.01,-2.2065627905197616,-2.19643922710995,0.010123563409811354
0.005,-2.2015093134557295,-2.19643922710995,0.005070086345779323
0.002,-2.1981652268298624,-2.19643922710995,0.0017259997199121635
0.001,-2.1969972387014813,-2.19643922710995,0.0005580115915311268
0.0005,-2.1964031305996556,-2.19643922710995,3.609651029456984e-05
0.0002,-2.1960434136270024,-2.19643922710995,0.0003958134829478155
