N rel_err theory 
1 8.846714e-01 5.436564e+00
2 7.029563e-01 7.389056e+00
3 4.743672e-01 5.951270e+00
5 7.743199e-02 1.519751e+00
8 7.102111e-04 4.548581e-02
10 1.358627e-05 2.255510e-03
12 1.609334e-07 7.476852e-05
