phi,a_inc,S_1111,S_1122,S_1212,S_2222,S_over_B_1111
0.02,0.09488499966575888,0.02472527472527472,0.007417582417582418,0.008653846153846153,0.02472527472527472,0.02
0.05,0.15002635736405673,0.06181318681318682,0.01854395604395605,0.02163461538461539,0.06181318681318682,0.05000000000000002
0.08,0.18976999933151775,0.09890109890109888,0.029670329670329672,0.03461538461538461,0.09890109890109888,0.08
0.1,0.21216930929768169,0.12362637362637365,0.0370879120879121,0.04326923076923078,0.12362637362637365,0.10000000000000003
0.12,0.23241983342526165,0.14835164835164835,0.044505494505494514,0.051923076923076926,0.14835164835164835,0.12000000000000002
0.15,0.2598532734290314,0.18543956043956042,0.055631868131868135,0.06490384615384615,0.18543956043956042,0.15
0.18,0.28465499899727664,0.22252747252747251,0.06675824175824177,0.07788461538461539,0.22252747252747251,0.18000000000000002
0.2,0.30005271472811346,0.2472527472527473,0.0741758241758242,0.08653846153846156,0.2472527472527473,0.20000000000000007
