w_norm abs_rho re_rho im_rho abs_S re_S im_S phase_rho_pi phase_S_pi 
0.600050 1.936029e+00 1.935532e+00 4.386082e-02 1.052687e+00 1.052258e+00 3.005663e-02 0.007212 0.009090
0.601051 1.937780e+00 1.937278e+00 4.409885e-02 1.053888e+00 1.053455e+00 3.021974e-02 0.007245 0.009129
0.602052 1.939541e+00 1.939034e+00 4.433864e-02 1.055095e+00 1.054658e+00 3.038406e-02 0.007277 0.009168
0.603053 1.941311e+00 1.940799e+00 4.458020e-02 1.056309e+00 1.055868e+00 3.054960e-02 0.007310 0.009207
0.604054 1.943091e+00 1.942574e+00 4.482355e-02 1.057530e+00 1.057084e+00 3.071636e-02 0.007343 0.009247
0.605055 1.944880e+00 1.944358e+00 4.506871e-02 1.058757e+00 1.058307e+00 3.088436e-02 0.007377 0.009287
0.606056 1.946680e+00 1.946152e+00 4.531570e-02 1.059991e+00 1.059536e+00 3.105362e-02 0.007410 0.009327
0.607057 1.948489e+00 1.947956e+00 4.556454e-02 1.061232e+00 1.060772e+00 3.122414e-02 0.007444 0.009367
0.608058 1.950308e+00 1.949770e+00 4.581524e-02 1.062479e+00 1.062015e+00 3.139594e-02 0.007478 0.009407
0.609059 1.952137e+00 1.951594e+00 4.606783e-02 1.063733e+00 1.063265e+00 3.156903e-02 0.007512 0.009448
0.610060 1.953976e+00 1.953427e+00 4.632232e-02 1.064995e+00 1.064521e+00 3.174343e-02 0.007547 0.009489
0.611061 1.955826e+00 1.955271e+00 4.657874e-02 1.066263e+00 1.065785e+00 3.191914e-02 0.007581 0.009530
0.612062 1.957685e+00 1.957125e+00 4.683710e-02 1.067538e+00 1.067055e+00 3.209619e-02 0.007616 0.009572
0.613063 1.959555e+00 1.958989e+00 4.709742e-02 1.068820e+00 1.068333e+00 3.227458e-02 0.007651 0.009613
0.614064 1.961435e+00 1.960863e+00 4.735973e-02 1.070109e+00 1.069617e+00 3.245433e-02 0.007686 0.009655
0.615065 1.963325e+00 1.962748e+00 4.762404e-02 1.071406e+00 1.070908e+00 3.263546e-02 0.007722 0.009697
0.616066 1.965226e+00 1.964643e+00 4.789037e-02 1.072709e+00 1.072207e+00 3.281797e-02 0.007758 0.009740
0.617067 1.967138e+00 1.966549e+00 4.815876e-02 1.074020e+00 1.073513e+00 3.300189e-02 0.007794 0.009782
0.618068 1.969060e+00 1.968465e+00 4.842921e-02 1.075338e+00 1.074826e+00 3.318722e-02 0.007830 0.009825
0.619069 1.970994e+00 1.970392e+00 4.870175e-02 1.076664e+00 1.076147e+00 3.337399e-02 0.007866 0.009868
0.620070 1.972938e+00 1.972330e+00 4.897641e-02 1.077997e+00 1.077475e+00 3.356220e-02 0.007903 0.009912
0.621071 1.974892e+00 1.974278e+00 4.925320e-02 1.079338e+00 1.078810e+00 3.375188e-02 0.007939 0.009955
0.622072 1.976858e+00 1.976238e+00 4.953214e-02 1.080686e+00 1.080153e+00 3.394303e-02 0.007976 0.009999
0.623073 1.978835e+00 1.978208e+00 4.981327e-02 1.082042e+00 1.081503e+00 3.413568e-02 0.008014 0.010044
0.624074 1.980823e+00 1.980190e+00 5.009660e-02 1.083405e+00 1.082861e+00 3.432983e-02 0.008051 0.010088
0.625075 1.982823e+00 1.982183e+00 5.038215e-02 1.084776e+00 1.084227e+00 3.452552e-02 0.008089 0.010133
0.626076 1.984834e+00 1.984187e+00 5.066995e-02 1.086155e+00 1.085600e+00 3.472274e-02 0.008127 0.010178
0.627077 1.986856e+00 1.986202e+00 5.096003e-02 1.087542e+00 1.086981e+00 3.492152e-02 0.008165 0.010223
0.628078 1.988890e+00 1.988229e+00 5.125241e-02 1.088937e+00 1.088370e+00 3.512188e-02 0.008204 0.010268
0.629079 1.990935e+00 1.990268e+00 5.154711e-02 1.090339e+00 1.089767e+00 3.532383e-02 0.008242 0.010314
0.630080 1.992992e+00 1.992318e+00 5.184416e-02 1.091750e+00 1.091172e+00 3.552739e-02 0.008281 0.010360
0.631081 1.995061e+00 1.994380e+00 5.214358e-02 1.093169e+00 1.092585e+00 3.573258e-02 0.008320 0.010406
0.632082 1.997142e+00 1.996453e+00 5.244541e-02 1.094596e+00 1.094006e+00 3.593941e-02 0.008360 0.010453
0.633083 1.999235e+00 1.998539e+00 5.274966e-02 1.096031e+00 1.095435e+00 3.614790e-02 0.008400 0.010500
0.634084 2.001340e+00 2.000636e+00 5.305636e-02 1.097475e+00 1.096873e+00 3.635808e-02 0.008440 0.010547
0.635085 2.003457e+00 2.002746e+00 5.336554e-02 1.098927e+00 1.098318e+00 3.656995e-02 0.008480 0.010595
