N rel_err theory
1 7.661195e-01 1.359141e+00
2 3.144739e-01 4.618160e-01
3 5.990632e-02 9.298860e-02
5 5.731433e-04 1.484132e-03
8 7.881174e-08 6.940584e-07
10 9.274970e-11 2.151022e-09
12 6.788655e-14 4.456551e-12
