N rel_err theory
1 8.585603e-01 4.077423e+00
2 6.592898e-01 4.156344e+00
3 3.660174e-01 2.510692e+00
5 3.253488e-02 3.606440e-01
8 1.232332e-04 4.553717e-03
10 1.316058e-06 1.270157e-04
12 8.721686e-09 2.368394e-06
